,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
154,149,Paul George,SF,32,LAC,28,28,34.6,8.4,18.4,.457,3.1,8.0,.388,5.3,10.4,.510,.542,4.5,5.1,.888,0.7,5.5,6.2,5.2,1.5,0.5,3.5,2.7,24.4,2023
155,150,Taj Gibson,PF,37,WAS,23,1,9.0,1.3,2.5,.534,0.1,0.6,.231,1.2,2.0,.622,.560,0.7,0.9,.750,0.5,1.0,1.6,0.5,0.4,0.3,0.5,1.8,3.5,2023
156,151,Josh Giddey,SG,20,OKC,31,31,30.8,6.4,13.7,.467,1.0,3.0,.326,5.4,10.7,.506,.502,1.2,1.5,.771,1.9,6.3,8.2,5.4,0.7,0.5,3.2,2.0,14.9,2023
157,152,Shai Gilgeous-Alexander,SG,24,OKC,33,33,35.7,10.3,20.6,.499,1.0,2.9,.354,9.3,17.7,.523,.524,9.2,10.1,.913,0.9,4.0,4.8,5.8,1.7,1.0,3.3,2.7,30.8,2023
158,153,Anthony Gill,PF,30,WAS,29,4,10.3,1.1,1.9,.574,0.1,0.5,.143,1.0,1.4,.725,.593,0.5,0.6,.824,0.5,0.9,1.4,0.5,0.2,0.2,0.2,1.2,2.7,2023
159,154,Rudy Gobert,C,30,MIN,31,31,31.3,5.2,7.7,.671,0.0,0.1,.000,5.2,7.6,.679,.671,3.2,4.8,.676,3.5,8.4,11.9,0.9,0.8,1.3,1.7,3.1,13.6,2023
160,155,Jordan Goodwin,PG,24,WAS,28,3,20.2,2.9,6.0,.473,0.7,1.8,.392,2.1,4.2,.508,.533,0.9,1.2,.727,1.1,2.8,3.9,2.9,1.1,0.5,1.0,1.8,7.3,2023
161,156,Aaron Gordon,PF,27,DEN,30,30,30.1,6.7,11.0,.608,1.0,2.6,.385,5.7,8.4,.677,.653,2.9,4.6,.642,2.3,4.3,6.6,2.1,0.9,0.8,1.6,1.8,17.3,2023
162,157,Eric Gordon,SG,34,HOU,30,30,29.6,3.8,9.4,.408,1.8,5.2,.344,2.0,4.2,.488,.504,1.8,2.2,.815,0.3,1.7,2.0,2.4,0.6,0.4,1.8,0.8,11.2,2023
163,158,Devonte' Graham,PG,27,NOP,36,0,15.1,1.6,4.3,.368,1.3,3.5,.354,0.3,0.8,.429,.513,0.9,1.1,.800,0.3,1.3,1.6,2.1,0.4,0.2,0.6,0.8,5.3,2023
164,159,Jerami Grant,PF,28,POR,33,33,36.1,7.4,15.3,.484,2.6,5.9,.439,4.8,9.3,.513,.569,4.6,5.8,.788,1.0,3.4,4.4,2.8,0.8,0.8,1.9,2.3,22.0,2023
165,160,A.J. Green,SG,23,MIL,13,0,7.0,1.2,2.3,.500,0.8,1.8,.458,0.3,0.5,.667,.683,0.3,0.3,1.000,0.2,0.6,0.8,0.4,0.1,0.0,0.2,1.2,3.5,2023
166,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2023
167,161,Draymond Green,PF,32,GSW,33,33,30.9,3.2,6.3,.512,0.6,1.8,.328,2.6,4.5,.588,.560,0.9,1.3,.721,0.8,5.8,6.6,6.6,0.7,0.8,2.4,2.9,8.0,2023
168,162,Jalen Green,SG,20,HOU,36,36,34.4,7.3,17.4,.417,2.4,7.3,.326,4.9,10.1,.482,.485,4.6,5.8,.790,0.6,3.8,4.3,3.6,0.8,0.2,3.0,1.6,21.5,2023
169,163,JaMychal Green,PF,32,GSW,28,1,14.9,2.3,4.5,.512,0.5,1.8,.265,1.8,2.7,.671,.564,0.8,1.1,.733,1.4,2.6,4.0,0.8,0.5,0.4,1.1,2.0,5.8,2023
170,164,Javonte Green,SG,29,CHI,28,1,16.0,2.2,3.7,.587,0.5,1.2,.382,1.7,2.5,.686,.649,1.0,1.5,.674,0.9,2.0,2.9,0.8,0.8,0.7,0.7,1.7,5.9,2023
171,165,Jeff Green,PF,36,DEN,24,3,19.3,2.8,5.4,.527,0.3,1.3,.267,2.5,4.1,.606,.558,1.5,2.1,.686,0.9,1.9,2.8,1.1,0.4,0.3,1.0,1.8,7.5,2023
172,166,Josh Green,SG,22,DAL,25,1,20.3,2.4,4.1,.583,1.0,2.2,.444,1.4,2.0,.735,.699,1.3,1.8,.711,0.9,1.4,2.3,1.2,0.9,0.0,0.7,2.5,7.0,2023
173,167,AJ Griffin,SF,19,ATL,32,10,21.8,4.2,9.0,.464,1.7,4.6,.372,2.5,4.4,.560,.559,0.4,0.5,.875,0.7,1.7,2.3,1.1,1.0,0.1,0.8,1.3,10.5,2023
174,168,Blake Griffin,PF,33,BOS,15,8,15.3,1.9,3.9,.500,0.5,1.6,.333,1.4,2.3,.618,.569,1.0,1.4,.714,1.0,2.9,3.9,1.2,0.3,0.1,0.4,2.1,5.4,2023
175,169,Quentin Grimes,SG,22,NYK,26,21,27.7,3.5,7.7,.457,1.8,4.9,.367,1.7,2.7,.620,.575,1.2,1.5,.795,0.8,2.5,3.3,2.0,0.7,0.5,1.2,3.0,10.0,2023
176,170,Rui Hachimura,PF,24,WAS,21,0,24.0,5.2,10.2,.514,0.8,2.5,.321,4.4,7.7,.578,.554,1.7,2.2,.783,0.8,4.1,4.9,1.1,0.3,0.4,1.3,1.2,13.0,2023
177,171,Tyrese Haliburton,PG,22,IND,35,35,33.4,7.5,15.4,.485,3.1,7.5,.409,4.4,7.8,.558,.586,2.9,3.3,.877,0.7,3.1,3.8,10.2,1.7,0.4,2.5,1.1,20.9,2023
178,172,Jordan Hall,SF,21,SAS,9,0,9.2,1.0,3.1,.321,0.3,1.7,.200,0.7,1.4,.462,.375,0.8,1.0,.778,0.3,1.0,1.3,1.2,0.1,0.0,0.8,0.7,3.1,2023
179,173,R.J. Hampton,PG,21,ORL,24,0,14.0,1.9,4.5,.430,0.7,2.0,.347,1.2,2.4,.500,.509,1.2,1.4,.848,0.4,1.1,1.5,1.4,0.7,0.2,0.8,0.8,5.7,2023
180,174,Tim Hardaway Jr.,SG,30,DAL,35,18,28.0,4.5,11.8,.379,2.8,7.9,.353,1.7,3.9,.431,.496,1.9,2.5,.779,0.3,2.8,3.1,1.7,0.9,0.1,0.9,1.5,13.6,2023
181,175,James Harden,SG,33,PHI,20,20,38.1,6.7,15.2,.438,2.8,7.4,.374,3.9,7.9,.497,.528,5.9,6.6,.886,0.5,5.8,6.2,11.1,1.5,0.6,3.9,2.1,21.9,2023
182,176,Jaden Hardy,SG,20,DAL,11,0,7.1,1.4,4.0,.341,0.2,1.4,.133,1.2,2.6,.448,.364,0.8,0.8,1.000,0.0,1.0,1.0,0.3,0.1,0.2,0.4,1.1,3.7,2023
183,177,Ron Harper Jr.,SF,22,TOR,2,0,4.0,1.0,2.0,.500,1.0,1.5,.667,0.0,0.5,.000,.750,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3.0,2023
184,178,Montrezl Harrell,C,29,PHI,31,5,11.5,1.8,3.3,.544,0.0,0.1,.000,1.8,3.3,.554,.544,1.3,1.8,.719,1.0,1.7,2.7,0.6,0.3,0.5,0.6,1.2,4.9,2023
185,179,Gary Harris,SG,28,ORL,9,3,23.9,3.6,7.0,.508,1.4,3.3,.433,2.1,3.7,.576,.611,1.1,1.1,1.000,0.6,1.9,2.4,1.6,0.6,0.2,1.1,1.9,9.7,2023
186,180,Joe Harris,SG,31,BRK,29,18,25.7,3.1,7.3,.425,1.9,5.0,.382,1.2,2.3,.515,.554,0.4,0.6,.706,0.4,2.4,2.8,1.7,0.6,0.3,0.6,2.5,8.5,2023
187,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2023
188,181,Kevon Harris,SG,25,ORL,26,0,12.6,1.2,2.9,.421,0.4,1.1,.393,0.8,1.8,.438,.493,0.8,1.0,.815,0.8,1.2,2.0,0.5,0.5,0.1,0.6,1.3,3.7,2023
189,182,Tobias Harris,PF,30,PHI,32,32,34.4,6.5,13.1,.498,2.1,5.3,.394,4.4,7.8,.568,.577,1.6,1.8,.879,1.0,5.2,6.2,2.8,1.1,0.5,1.4,2.2,16.8,2023
190,183,Josh Hart,SG,27,POR,33,33,34.8,3.7,7.3,.513,0.7,2.0,.354,3.0,5.3,.571,.560,1.8,2.4,.738,2.1,6.5,8.5,4.0,1.2,0.1,1.7,2.8,9.9,2023
191,184,Isaiah Hartenstein,C,24,NYK,37,7,19.6,2.3,4.6,.509,0.2,0.8,.258,2.1,3.7,.565,.533,0.6,0.8,.742,2.8,3.7,6.5,0.8,0.6,0.8,0.9,2.4,5.5,2023
192,185,Udonis Haslem,PF,42,MIA,5,1,7.2,0.2,2.0,.100,0.0,0.2,.000,0.2,1.8,.111,.100,0.2,0.4,.500,0.6,0.6,1.2,0.0,0.2,0.2,0.0,1.4,0.6,2023
193,186,Sam Hauser,PF,25,BOS,36,0,15.6,2.1,4.8,.448,1.7,4.1,.409,0.4,0.6,.696,.625,0.2,0.3,.636,0.4,2.1,2.6,0.8,0.3,0.2,0.3,1.3,6.2,2023
194,187,Jaxson Hayes,C,22,NOP,16,1,12.6,1.6,2.8,.556,0.1,0.9,.133,1.4,1.9,.767,.578,1.2,1.7,.704,0.6,2.1,2.7,0.8,0.3,0.4,0.6,1.1,4.4,2023
195,188,Killian Hayes,PG,21,DET,37,24,25.5,3.6,9.5,.381,1.1,3.4,.323,2.5,6.2,.412,.438,0.8,1.0,.806,0.4,2.5,2.9,5.3,1.1,0.4,1.8,3.0,9.1,2023
196,189,Gordon Hayward,SF,32,CHO,20,20,33.0,5.3,12.2,.430,1.2,3.9,.295,4.1,8.3,.494,.477,2.3,3.0,.767,0.9,4.1,5.0,4.0,0.9,0.2,2.2,1.2,14.0,2023
197,190,Juancho Hernangómez,PF,27,TOR,25,10,18.0,1.6,3.5,.466,0.6,2.0,.280,1.1,1.5,.711,.545,0.2,0.4,.455,0.9,2.8,3.7,0.7,0.5,0.2,0.5,1.2,4.0,2023
198,191,Willy Hernangómez,C,28,NOP,18,0,11.1,2.0,4.1,.486,0.1,0.3,.167,1.9,3.8,.515,.493,2.3,2.9,.808,1.6,2.4,4.1,0.8,0.3,0.3,1.2,1.6,6.4,2023
199,192,Tyler Herro,SG,23,MIA,29,29,35.2,7.6,16.9,.452,3.3,8.5,.390,4.3,8.4,.514,.550,2.9,3.1,.912,0.5,5.6,6.1,4.6,1.0,0.4,2.6,1.8,21.4,2023
200,193,Buddy Hield,SG,30,IND,37,37,31.7,6.4,14.0,.459,3.8,9.0,.426,2.6,5.0,.516,.595,1.2,1.4,.860,0.9,3.9,4.8,2.6,0.9,0.3,1.9,2.0,17.9,2023
201,194,Haywood Highsmith,SF,26,MIA,26,4,19.4,1.8,4.4,.404,0.7,2.1,.333,1.1,2.3,.467,.482,0.2,0.6,.375,1.0,2.6,3.6,0.8,0.9,0.3,0.8,1.4,4.5,2023
202,195,George Hill,PG,36,MIL,30,0,20.0,1.7,3.9,.427,0.6,2.1,.297,1.0,1.8,.585,.509,1.1,1.5,.727,0.4,1.7,2.1,2.6,0.5,0.1,0.9,1.2,5.0,2023
203,196,Malcolm Hill,SF,27,CHI,3,0,0.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2023
